product_id,product_name,category,cost_price,sale_price
10000222,Skin Sport,Sports,335.75,549.73
10000223,Important Beaut,Beauty,426.22,612.22
10000224,Now Clothin,Clothing,180.64,277.44
10000225,Skin Hom,Home,440.76,930.68
10000226,Peace Hom,Home,280.12,524.28
10000227,Memory Clothin,Clothing,47.38,101.21
10000228,Try Beaut,Beauty,279.81,423.19
10000229,Present Beaut,Beauty,324.72,596.86
10000230,Head Electronic,Electronics,51.06,75.98
10000231,Time Toy,Toys,125.44,258.8
10000232,Mr Hom,Home,239.26,452.25
10000233,Painting Beaut,Beauty,498.33,954.55
10000234,Organization Hom,Home,352.91,547.78
10000235,Machine Hom,Home,119.12,254.64
10000236,Wonder Hom,Home,64.18,121.73
10000237,Each Toy,Toys,96.65,143.17
10000238,Consumer Beaut,Beauty,141.87,278.98
10000239,Head Sport,Sports,300.41,743.41
10000240,Occur Clothin,Clothing,151.64,253.11
10000241,Marriage Hom,Home,12.0,22.73
10000242,Thus Hom,Home,27.53,34.99
10000243,Travel Hom,Home,350.22,477.76
10000244,Protect Beaut,Beauty,55.78,67.83
10000245,Others Hom,Home,237.35,420.73
10000246,Power Clothin,Clothing,482.92,738.01
10000247,Own Beaut,Beauty,61.47,78.99
10000248,Yet Beaut,Beauty,41.67,84.1
10000249,Quickly Electronic,Electronics,80.1,180.58
10000250,Foreign Hom,Home,47.16,71.81
10000251,Shoulder Sport,Sports,383.4,762.28
10000252,Issue Sport,Sports,116.72,219.36
10000253,Them Beaut,Beauty,454.71,721.42
10000254,Seek Sport,Sports,495.07,790.62
10000255,Consider Sport,Sports,34.81,85.22
10000256,Southern Electronic,Electronics,474.06,696.93
10000257,Involve Clothin,Clothing,136.0,177.55
10000258,Pattern Clothin,Clothing,91.04,118.13
10000259,Situation Electronic,Electronics,207.22,434.37
10000260,Sound Beaut,Beauty,149.17,223.89
10000261,Affect Toy,Toys,144.95,335.92
10000262,Whom Electronic,Electronics,345.26,829.0
10000263,Carry Toy,Toys,296.95,666.68
10000264,Person Clothin,Clothing,215.44,411.04
10000265,Well Toy,Toys,78.75,121.69
10000266,Have Clothin,Clothing,40.35,57.12
10000267,Money Hom,Home,299.55,680.43
10000268,Ago Hom,Home,222.38,402.35
10000269,Finally Hom,Home,351.37,852.24
10000270,Goal Sport,Sports,272.29,481.7
10000271,Per Sport,Sports,24.73,43.57
10000272,Modern Hom,Home,303.84,374.82
10000273,Western Clothin,Clothing,481.15,1100.27
10000274,Road Sport,Sports,295.63,362.73
10000275,Management Toy,Toys,411.6,802.26
10000276,Company Clothin,Clothing,237.9,486.97
10000277,Although Hom,Home,94.84,185.97
10000278,Likely Toy,Toys,408.05,1003.71
10000279,Understand Beaut,Beauty,177.24,289.49
10000280,Crime Toy,Toys,56.78,80.01
10000281,Actually Beaut,Beauty,348.37,548.57
10000282,Suggest Beaut,Beauty,407.72,780.84
10000283,Itself Beaut,Beauty,48.59,74.25
10000284,Discover Electronic,Electronics,485.24,837.25
10000285,Serve Sport,Sports,413.34,496.63
10000286,Human Sport,Sports,233.68,296.88
10000287,Without Sport,Sports,184.08,401.92
10000288,Appear Toy,Toys,223.81,283.59
10000289,Medical Hom,Home,276.86,666.12
10000290,Operation Beaut,Beauty,441.02,807.12
10000291,If Electronic,Electronics,486.71,969.3
10000292,Thank Clothin,Clothing,356.34,571.56
10000293,Always Electronic,Electronics,278.36,367.76
10000294,Way Electronic,Electronics,233.42,315.75
10000295,Hope Clothin,Clothing,251.7,536.52
10000296,Small Sport,Sports,354.18,616.32
10000297,Base Beaut,Beauty,490.22,743.59
10000298,Maintain Sport,Sports,76.6,110.9
10000299,System Sport,Sports,256.58,601.2
10000300,Hotel Electronic,Electronics,141.74,315.66
10000301,Art Beaut,Beauty,173.24,385.29
10000302,Too Hom,Home,411.17,644.59
10000303,Science Hom,Home,419.55,819.76
10000304,There Toy,Toys,247.37,344.63
10000305,Later Sport,Sports,244.75,399.47
10000306,Space Sport,Sports,191.72,462.56
10000307,Operation Clothin,Clothing,490.48,740.84
10000308,Record Beaut,Beauty,120.61,266.33
10000309,Away Electronic,Electronics,162.5,294.92
10000310,National Beaut,Beauty,196.11,404.53
10000311,Capital Toy,Toys,490.5,904.45
10000312,Catch Electronic,Electronics,67.49,165.69
10000313,Hear Hom,Home,435.5,1017.52
10000314,Sing Beaut,Beauty,54.36,129.57
10000315,Create Electronic,Electronics,362.61,628.39
10000316,Not Toy,Toys,485.13,629.35
10000317,Save Hom,Home,172.59,362.53
10000318,Story Toy,Toys,44.76,72.83
10000319,Trip Toy,Toys,430.37,729.05
10000320,Simple Hom,Home,315.27,742.04
10000321,Picture Beaut,Beauty,436.83,544.58
10000322,Sister Electronic,Electronics,121.21,253.29
10000323,Your Hom,Home,498.73,1082.64
10000324,Series Beaut,Beauty,489.28,1070.78
10000325,Attorney Toy,Toys,436.93,776.33
10000326,Easy Toy,Toys,153.24,189.65
10000327,Tend Hom,Home,399.09,631.11
10000328,Thus Hom,Home,218.19,331.09
10000329,Peace Beaut,Beauty,285.13,635.92
10000330,Decade Clothin,Clothing,91.66,182.62
10000331,Big Beaut,Beauty,311.76,471.72
10000332,Off Sport,Sports,75.84,136.47
10000333,Hand Hom,Home,232.49,480.53
10000334,Show Beaut,Beauty,451.1,938.69
10000335,Serious Clothin,Clothing,41.56,100.94
10000336,Follow Sport,Sports,153.08,375.14
10000337,Many Toy,Toys,128.8,296.1
10000338,Firm Clothin,Clothing,499.69,1153.95
10000339,Style Electronic,Electronics,122.42,237.92
10000340,Congress Sport,Sports,151.46,319.44
10000341,Central Electronic,Electronics,489.08,1005.4
10000342,Capital Hom,Home,9.01,20.94
10000343,Event Toy,Toys,486.93,1160.74
10000344,Strong Toy,Toys,250.88,595.94
10000345,Policy Hom,Home,388.99,583.16
10000346,A Hom,Home,113.41,164.12
10000347,Trouble Hom,Home,340.49,727.7
10000348,Hotel Toy,Toys,342.02,471.24
10000349,There Electronic,Electronics,452.18,922.56
10000350,Candidate Hom,Home,395.36,491.58
10000351,Cultural Hom,Home,367.52,484.09
10000352,Bad Hom,Home,166.73,290.14
10000353,White Clothin,Clothing,70.42,133.88
10000354,Of Hom,Home,267.77,639.31
10000355,Speak Clothin,Clothing,132.2,300.37
10000356,Around Beaut,Beauty,483.86,766.28
10000357,Here Hom,Home,403.1,729.14
10000358,Push Electronic,Electronics,74.67,183.42
10000359,Above Toy,Toys,363.49,899.25
10000360,Mean Sport,Sports,186.06,414.52
10000361,Movement Electronic,Electronics,135.91,184.93
10000362,Name Hom,Home,338.05,701.13
10000363,Population Sport,Sports,193.61,393.05
10000364,Itself Hom,Home,58.63,88.18
10000365,All Electronic,Electronics,311.68,756.17
10000366,Police Hom,Home,458.05,681.48
10000367,Never Electronic,Electronics,319.52,576.27
10000368,Moment Toy,Toys,154.58,267.54
10000369,Authority Clothin,Clothing,27.45,34.27
10000370,Many Beaut,Beauty,62.48,94.05
10000371,Ten Sport,Sports,72.15,129.13
10000372,Fall Toy,Toys,474.94,999.95
10000373,Man Sport,Sports,212.47,459.99
10000374,Section Clothin,Clothing,443.28,909.34
10000375,Think Beaut,Beauty,309.75,749.83
10000376,Third Hom,Home,21.19,35.63
10000377,Thousand Beaut,Beauty,225.12,339.24
10000378,Least Hom,Home,54.18,113.31
10000379,Lose Sport,Sports,451.34,919.95
10000380,Health Electronic,Electronics,202.08,292.36
10000381,Responsibility Electronic,Electronics,474.76,1078.39
10000382,Trade Electronic,Electronics,333.07,677.54
10000383,Reason Sport,Sports,485.69,614.76
10000384,Yourself Hom,Home,125.57,171.24
10000385,Claim Sport,Sports,106.58,242.87
10000386,Alone Sport,Sports,107.54,159.24
10000387,Imagine Clothin,Clothing,167.64,233.32
10000388,Meet Sport,Sports,6.4,14.82
10000389,One Clothin,Clothing,493.83,939.4
10000390,Class Clothin,Clothing,59.41,138.21
10000391,Interesting Clothin,Clothing,12.36,27.53
10000392,Image Clothin,Clothing,296.48,361.86
10000393,Himself Hom,Home,30.94,66.96
10000394,Must Sport,Sports,61.26,78.57
10000395,Real Beaut,Beauty,390.12,728.44
10000396,Popular Electronic,Electronics,228.74,340.37
10000397,Management Sport,Sports,26.47,58.72
10000398,Model Toy,Toys,263.12,472.42
10000399,Allow Electronic,Electronics,35.11,63.99
10000400,Middle Beaut,Beauty,216.01,289.53
10000401,Green Toy,Toys,455.3,589.86
10000402,Blood Electronic,Electronics,164.45,229.05
10000403,Only Clothin,Clothing,141.13,285.51
10000404,Miss Sport,Sports,357.52,606.06
10000405,Movie Sport,Sports,267.63,479.01
10000406,Between Sport,Sports,217.95,486.25
10000407,See Electronic,Electronics,427.13,873.99
10000408,Local Sport,Sports,361.82,535.32
10000409,Past Beaut,Beauty,444.61,772.71
10000410,Wonder Beaut,Beauty,202.37,434.79
10000411,Maintain Hom,Home,216.25,446.48
10000412,Partner Hom,Home,477.03,998.36
10000413,Watch Beaut,Beauty,38.23,87.21
10000414,Moment Electronic,Electronics,218.78,474.31
10000415,With Hom,Home,406.83,782.45
10000416,Take Sport,Sports,478.53,923.65
10000417,Little Toy,Toys,65.5,108.71
10000418,Improve Toy,Toys,470.86,823.92
10000419,Together Toy,Toys,30.47,47.96
10000420,However Hom,Home,179.06,349.4
10000421,Nation Clothin,Clothing,81.59,149.05
10000422,Father Electronic,Electronics,178.31,342.92
10000423,Forward Electronic,Electronics,382.49,744.45
10000424,Case Beaut,Beauty,423.35,1044.37
10000425,Success Sport,Sports,308.72,628.4
10000426,Every Electronic,Electronics,306.45,629.81
10000427,Shake Toy,Toys,137.39,197.09
10000428,Main Toy,Toys,382.39,916.97
10000429,Economy Hom,Home,8.02,18.69
10000430,Heart Sport,Sports,330.39,426.36
10000431,Individual Toy,Toys,318.42,394.79
10000432,Southern Toy,Toys,267.59,451.97
10000433,Support Beaut,Beauty,173.74,292.07
10000434,Similar Toy,Toys,165.57,401.31
10000435,Three Sport,Sports,47.05,59.68
10000436,Raise Clothin,Clothing,378.45,478.62
10000437,Approach Electronic,Electronics,139.69,287.83
10000438,Likely Beaut,Beauty,305.5,531.09
10000439,Institution Clothin,Clothing,378.7,510.47
10000440,Provide Beaut,Beauty,59.89,124.67
10000441,Relationship Sport,Sports,245.88,508.3
10000442,Appear Electronic,Electronics,114.16,283.09
10000443,Such Electronic,Electronics,8.81,14.02
10000444,Vote Clothin,Clothing,384.84,844.11
10000445,Tree Hom,Home,167.42,202.59
10000446,Perform Toy,Toys,218.17,298.44
10000447,Professor Sport,Sports,353.32,653.76
10000448,Security Toy,Toys,404.07,522.74
10000449,Nearly Toy,Toys,25.94,31.76
10000450,Certain Electronic,Electronics,431.74,841.24
10000451,Fly Sport,Sports,205.19,416.98
10000452,Throw Hom,Home,62.01,76.09
10000453,Thus Hom,Home,90.08,219.07
10000454,Recent Beaut,Beauty,416.85,998.65
10000455,Receive Electronic,Electronics,221.17,295.84
10000456,Expect Beaut,Beauty,296.49,557.74
10000457,Because Beaut,Beauty,435.91,945.73
10000458,But Clothin,Clothing,169.87,240.97
10000459,Though Sport,Sports,318.45,601.8
10000460,Lawyer Clothin,Clothing,453.43,750.06
10000461,Continue Toy,Toys,479.32,977.37
10000462,Standard Clothin,Clothing,121.95,169.56
10000463,Above Clothin,Clothing,90.88,127.12
10000464,Field Toy,Toys,42.3,103.07
10000465,Two Toy,Toys,249.59,544.3
10000466,Similar Sport,Sports,227.21,545.62
10000467,Economic Sport,Sports,323.28,802.54
10000468,Close Hom,Home,432.8,872.26
10000469,Yard Clothin,Clothing,222.68,402.96
10000470,Science Toy,Toys,154.9,241.19
10000471,Probably Electronic,Electronics,179.21,232.34
10000472,Would Beaut,Beauty,228.7,291.35
10000473,Teach Hom,Home,42.98,99.87
10000474,Shoulder Electronic,Electronics,309.43,575.29
10000475,Quality Beaut,Beauty,292.26,713.26
10000476,Happen Toy,Toys,448.46,800.35
10000477,Chance Sport,Sports,327.66,530.15
10000478,Team Beaut,Beauty,253.18,619.03
10000479,Wish Beaut,Beauty,56.23,133.2
10000480,Several Hom,Home,491.28,643.39
10000481,Affect Toy,Toys,90.42,137.63
10000482,Keep Beaut,Beauty,495.54,932.25
10000483,Travel Sport,Sports,83.58,140.81
10000484,Deep Hom,Home,196.77,434.23
10000485,Employee Toy,Toys,300.95,669.91
10000486,Head Toy,Toys,170.65,277.92
10000487,Begin Sport,Sports,340.8,534.85
10000488,Agent Toy,Toys,426.53,1046.59
10000489,Success Sport,Sports,437.27,714.22
10000490,Eat Sport,Sports,333.49,797.63
10000491,Morning Hom,Home,484.01,1020.3
10000492,Republican Beaut,Beauty,68.83,146.02
10000493,Offer Electronic,Electronics,158.24,267.38
10000494,Activity Hom,Home,407.53,844.06
10000495,Official Toy,Toys,498.6,1189.75
10000496,Newspaper Electronic,Electronics,324.78,568.5
10000497,Daughter Hom,Home,14.02,22.45
10000498,Instead Clothin,Clothing,174.16,382.46
10000499,Situation Clothin,Clothing,117.14,161.52
10000500,Black Electronic,Electronics,151.42,336.84
